Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),source_file
03/01/2026 15:00,HUD VL,61758,59.3,2.72,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,LONGIL,61762,60.94,4.36,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,MHK VL,61756,57.55,0.96,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,MILLWD,61759,59.69,3.11,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,N.Y.C.,61761,59.98,3.39,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,NORTH,61755,57.09,0.51,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,NPX,61845,59.3,2.72,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,O H,61846,49.11,-7.47,0.0,20260301damlbmp_zone.csv
03/01/2026 15:00,PJM,61847,40.69,-1.41,14.48,20260301damlbmp_zone.csv
03/01/2026 15:00,WEST,61752,50.13,-6.45,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,CAPITL,61757,67.03,3.37,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,CENTRL,61754,61.81,-1.85,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,DUNWOD,61760,67.35,3.69,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,GENESE,61753,58.19,-5.48,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,H Q,61844,73.05,0.19,-9.19,20260301damlbmp_zone.csv
03/01/2026 16:00,HUD VL,61758,66.84,3.18,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,LONGIL,61762,68.05,4.39,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,MHK VL,61756,65.19,1.53,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,MILLWD,61759,67.22,3.56,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,N.Y.C.,61761,67.54,3.88,0.0,20260301damlbmp_zone.csv
03/01/2026 16:00,NORTH,61755,64.23,0.57,0.0,20260301damlbmp_zone.csv
